   0.0000000       0.0000000    
  0.12822828      0.12787716    
  0.25645655      0.25365460    
  0.38468483      0.37526703    
  0.51291311      0.49071756    
  0.64114141      0.59811056    
  0.76936966      0.69568259    
  0.89759791      0.78183150    
   1.0258262      0.85514277    
   1.1540545      0.91441268    
   1.2822828      0.95866787    
   1.4105110      0.98718178    
   1.5387393      0.99948621    
   1.6669676      0.99537909    
   1.7951958      0.97492790    
   1.9234241      0.93846840    
   2.0516524      0.88659924    
   2.1798806      0.82017225    
   2.3081090      0.74027789    
   2.4363372      0.64822835    
   2.5645657      0.54553473    
   2.6927938      0.43388361    
   2.8210220      0.31510815    
   2.9492505      0.19115841    
   3.0774786      6.40700907E-02
   3.2057068     -6.40702620E-02
   3.3339353     -0.19115883    
   3.4621634     -0.31510833    
   3.5903916     -0.43388376    
   3.7186201     -0.54553503    
   3.8468482     -0.64822847    
   3.9750767     -0.74027818    
   4.1033049     -0.82017237    
   4.2315331     -0.88659936    
   4.3597612     -0.93846840    
   4.4879899     -0.97492802    
   4.6162181     -0.99537915    
   4.7444463     -0.99948621    
   4.8726745     -0.98718178    
   5.0009027     -0.95866781    
   5.1291313     -0.91441244    
   5.2573595     -0.85514259    
   5.3855877     -0.78183132    
   5.5138159     -0.69568241    
   5.6420441     -0.59811044    
   5.7702723     -0.49071753    
   5.8985009     -0.37526661    
   6.0267291     -0.25365424    
   6.1549573     -0.12787691    
   6.2831855      1.74845553E-07
